Question No: 1,,,,Question No: 2,,,,Question No: 3,,,,,Question No: 5,,,,,Question No: 6,,,Question No: 7,,,,,,Question No: 8,,,,,,,,,Question No: 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Primary category,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of delivery_duration_min,,,Row Labels,Average of subtotal,,,,,,,,Row Labels,Average of delivery_duration_min,,,,"Correlation(price range, subtotal)",,,Row Labels,Count of above_average,Sum of above_average,,,,Row Labels,StdDevp of delivery_duration_min,Average of delivery_duration_min,,Row Labels,StdDevp of delivery_duration_min,,,,Row Labels,Average of delivery_duration_min,Average of ratio_column
,,,,,,,,,,,,,,,,,,,,,indian,7314,3279,,,,,,,,indian,67.45269844,,,,,,
,,,,,,,,,,,,,,,,,,,,,indonesian,2,0,,,,,,,,indonesian,0.050000001,,,,,,
,,,,,,,,,,,,,,,,,,,,,irish,55,36,,,,,,,,irish,13.04072394,,,,,,
,,,,,,,,,,,,,,,,,,,,,italian,7179,4572,,,,,,,,italian,1674.726747,,,,,,
,,,,,,,,,,,,,,,,,,,,,japanese,9195,4936,,,,,,,,japanese,21.34287671,,,,,,
,,,,,,,,,,,,,,,,,,,,,korean,1813,852,,,,,,,,korean,17.00478427,,,,,,
,,,,,,,,,,,,,,,,,,,,,kosher,51,23,,,,,,,,kosher,18.01831229,,,,,,
,,,,,,,,,,,,,,,,,,,,,latin-american,520,261,,,,,,,,latin-american,18.04906523,,,,,,
,,,,,,,,,,,,,,,,,,,,,lebanese,9,6,,,,,,,,lebanese,17.24514504,,,,,,
,,,,,,,,,,,,,,,,,,,,,malaysian,102,63,,,,,,,,malaysian,17.78860317,,,,,,
,,,,,,,,,,,,,,,,,,,,,mediterranean,5512,2061,,,,,,,,mediterranean,20.48346768,,,,,,
,,,,,,,,,,,,,,,,,,,,,mexican,17098,4953,,,,,,,,mexican,17.99081303,,,,,,
